,ANO_SEMESTRE,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO,Frequência da matéria,TAXA_REPROVACAO_POR_NOTA,TAXA_REPROVACAO_POR_FALTA,TAXA_DE_TRANCAMENTO,Tipo_de_materia,Escola
37,2016.2.0,BCC760,CALCULO NUMERICO,0.7711111111111111,44,0.04777777777777778,0.11444444444444445,0.06777777777777777,OBRIGATORIA,ICEB
38,2017.1.0,BCC760,CALCULO NUMERICO,0.694,44,0.132,0.08,0.095,OBRIGATORIA,ICEB
39,2017.2.0,BCC760,CALCULO NUMERICO,0.5811111111111111,44,0.2011111111111111,0.11222222222222222,0.10555555555555557,OBRIGATORIA,ICEB
40,2018.1.0,BCC760,CALCULO NUMERICO,0.6855555555555556,44,0.13777777777777778,0.1077777777777778,0.07111111111111111,OBRIGATORIA,ICEB
41,2018.2.0,BCC760,CALCULO NUMERICO,0.7375,44,0.11375000000000002,0.0575,0.09,OBRIGATORIA,ICEB
42,2019.1.0,BCC760,CALCULO NUMERICO,0.5722222222222222,44,0.22111111111111112,0.11666666666666664,0.09222222222222222,OBRIGATORIA,ICEB
43,2019.2.0,BCC760,CALCULO NUMERICO,0.6344444444444444,44,0.17333333333333334,0.10333333333333333,0.0911111111111111,OBRIGATORIA,ICEB
44,1998.1.0,FIS209,MECANICA CLASSICA,0.66625,23,0.1375,0.1275,0.06812499999999999,CANCELADA,
45,1998.2.0,FIS209,MECANICA CLASSICA,0.4293333333333333,23,0.25533333333333336,0.2326666666666667,0.08133333333333333,CANCELADA,
46,1999.1.0,FIS209,MECANICA CLASSICA,0.5570588235294118,23,0.28764705882352937,0.09705882352941177,0.058823529411764705,CANCELADA,
47,1999.2.0,FIS209,MECANICA CLASSICA,0.504,23,0.3325,0.09,0.0735,CANCELADA,
48,2000.1.0,FIS209,MECANICA CLASSICA,0.49312500000000004,23,0.3625,0.09437499999999999,0.048749999999999995,CANCELADA,
49,2000.2.0,FIS209,MECANICA CLASSICA,0.528,23,0.312,0.12200000000000003,0.036000000000000004,CANCELADA,
50,2001.1.0,FIS209,MECANICA CLASSICA,0.6239999999999999,23,0.258,0.09000000000000001,0.03,CANCELADA,
51,2001.2.0,FIS209,MECANICA CLASSICA,0.725,23,0.19666666666666666,0.056666666666666664,0.021666666666666667,CANCELADA,
52,2001.4.0,FIS209,MECANICA CLASSICA,0.91,23,0.09,0.0,0.0,CANCELADA,
53,2002.1.0,FIS209,MECANICA CLASSICA,0.6633333333333334,23,0.19666666666666668,0.09500000000000001,0.043333333333333335,CANCELADA,
54,2002.2.0,FIS209,MECANICA CLASSICA,0.554,23,0.22000000000000003,0.142,0.08199999999999999,CANCELADA,
55,2003.1.0,FIS209,MECANICA CLASSICA,0.6533333333333333,23,0.09500000000000001,0.19333333333333336,0.056666666666666664,CANCELADA,
56,2003.2.0,FIS209,MECANICA CLASSICA,0.5266666666666667,23,0.29000000000000004,0.12166666666666666,0.06,CANCELADA,
57,2004.1.0,FIS209,MECANICA CLASSICA,0.6514285714285715,23,0.15142857142857144,0.12428571428571426,0.07142857142857142,CANCELADA,
58,2004.2.0,FIS209,MECANICA CLASSICA,0.4779999999999999,23,0.368,0.08399999999999999,0.07200000000000001,CANCELADA,
59,2005.1.0,FIS209,MECANICA CLASSICA,0.636,23,0.182,0.124,0.064,CANCELADA,
60,2005.2.0,FIS209,MECANICA CLASSICA,0.55,23,0.24999999999999997,0.0975,0.1,CANCELADA,
61,2006.1.0,FIS209,MECANICA CLASSICA,0.68,23,0.21666666666666665,0.05333333333333334,0.049999999999999996,CANCELADA,
62,2006.2.0,FIS209,MECANICA CLASSICA,0.67,23,0.27749999999999997,0.02,0.03,CANCELADA,
63,2007.1.0,FIS209,MECANICA CLASSICA,0.6,23,0.17166666666666666,0.11833333333333333,0.11000000000000003,CANCELADA,
64,2007.2.0,FIS209,MECANICA CLASSICA,0.594,23,0.256,0.06000000000000001,0.092,CANCELADA,
65,2008.1.0,FIS209,MECANICA CLASSICA,0.71,23,0.1733333333333333,0.08166666666666667,0.03333333333333333,CANCELADA,
