,ANO,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO
292,2006,PRO338,GESTAO AMBIENTAL DE SISTEMAS ENERGETICOS,1.0
293,2006,PRO397,GESTAO ESTRATEGICA E MARKETING,0.87
294,2006,QUI200,QUIMICA GERAL,0.6573333333333334
295,2007,CAT107,INSTALACOES INDUSTRIAIS,1.0
296,2007,CAT112,EXPRESSAO GRAFICA I,0.7420000000000001
297,2007,CAT113,EXPRESSAO GRAFICA II,0.75
298,2007,CAT126,SISTEMAS MECANICOS,0.89
299,2007,CAT127,SISTEMAS ELETRICOS,0.97
300,2007,CAT137,SISTEMAS TERMODINAMICOS,0.92
301,2007,CAT301,PLANEJAMENTO INTEGRADO DE RECURSOS,1.0
302,2007,CAT302,SUPRIMENTO E FONTES DE ENERGIA,0.585
303,2007,CAT304,MODELOS ENERGETICOS E PLANEJAMENTO REGIONAL,1.0
304,2007,CAT305,ANALISE E PROJECAO DA DEMANDA DE ENERGIA,1.0
305,2007,CIC107,PROGRAMACAO DE COMPUTADORES I,0.725
306,2007,CIC108,PROGRAMACAO DE COMPUTADORES II,0.555
307,2007,CIC109,ALGORITMOS E ESTRUTURA DE DADOS I,0.6033333333333334
308,2007,CIC111,MATEMATICA DISCRETA II,0.475
309,2007,CIC170,CALCULO NUMERICO,0.6587500000000001
310,2007,CIC182,AUTOMACAO INDUSTRIAL,1.0
311,2007,CIC272,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,0.9366666666666666
312,2007,CIC370,OTIMIZACAO COMBINATORIA,0.795
313,2007,CIC373,FLUXO EM REDES,1.0
314,2007,EDU303,METODOLOGIA CIENTIFICA,0.7694117647058825
315,2007,FIS209,MECANICA CLASSICA,0.5972727272727272
316,2007,FIS210,FISICA TERMICA,0.6625
317,2007,FIS211,ELETROMAGNETISMO,0.362
318,2007,FIS212,ESTRUTURA DA MATERIA,0.47333333333333333
319,2007,FIS213,OSCILACOES E ONDAS,0.5657142857142857
320,2007,FIS214,MECANICA RACIONAL,0.505
321,2007,FIS215,MECANICA DO CONTINUO,0.91
322,2007,MET247,ENGENHARIA DE PROCESSOS MECANICOS,0.87
323,2007,MET248,PRINCIPIOS DE CIENCIA DOS MATERIAIS,0.942
324,2007,MTM112,INTRODUCAO A ALGEBRA LINEAR,0.5908333333333333
325,2007,MTM122,CALCULO DIFERENCIAL E INTEGRAL I,0.4914285714285715
326,2007,MTM123,CALCULO DIFERENCIAL E INTEGRAL II,0.4645454545454545
327,2007,MTM124,CALCULO DIFERENCIAL E INTEGRAL III,0.5444444444444444
328,2007,MTM125,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,0.5172727272727272
329,2007,MTM129,ELEMENTOS DE EQUACOES DIFERENCIAIS PARCIAIS,0.8033333333333333
330,2007,MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,0.6208333333333335
331,2007,MTM151,ESTATISTICA E PROBABILIDADE,0.6791666666666667
332,2007,MTM154,ESTATISTICA APLICADA I,0.83
333,2007,MTM155,ESTATISTICA APLICADA II,0.87
334,2007,MTM157,CONTROLE ESTATISTICO DE QUALIDADE,0.9
335,2007,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,0.9
336,2007,PRO126,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",0.92
337,2007,PRO129,PROJETO EM ENGENHARIA DE PRODUCAO I,0.93
338,2007,PRO130,PROJETO EM ENGENHARIA DE PRODUCAO II,0.98
339,2007,PRO131,PROJETO EM ENGENHARIA DE PRODUCAO III,0.65
340,2007,PRO200,GESTAO AMBIENTAL,0.89
341,2007,PRO201,GESTAO DE QUALIDADE,0.98
342,2007,PRO202,SISTEMAS DE PRODUCAO CONTINUA,0.97
343,2007,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,0.8799999999999999
344,2007,PRO216,PLANEJAMENTO E CONTROLE DE PRODUCAO II,0.95
345,2007,PRO217,PLANEJAMENTO DAS INSTALACOES,1.0
346,2007,PRO219,PROJETO DO PRODUTO,0.94
347,2007,PRO222,CUSTOS INDUSTRIAIS E CONTABILIDADE GERENCIAL,0.835
348,2007,PRO224,ECONOMIA DA ENGENHARIA,0.8533333333333332
349,2007,PRO227,MICROECONOMIA,0.84
350,2007,PRO229,PRINCIPIOS DE ECONOMIA,0.84
