"ano";"semestre";"campus";"unidade_academica";"curso";"habilitacao";"formato";"diplomados"
2014;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"MUSICA-MUS";"";"PRESENCIAL";6
2014;2;"OURO PRETO";"REITORIA";"EDUCACAO FISICA-EFB";"";"PRESENCIAL";10
2014;2;"OURO PRETO";"REITORIA";"EDUCACAO FISICA-EFL";"";"PRESENCIAL";12
2015;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE COMPUTACAO-CJM";"";"PRESENCIAL";2
2015;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE PRODUCAO-PJM";"";"PRESENCIAL";28
2015;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA ELETRICA-EJM";"";"PRESENCIAL";4
2015;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"SISTEMAS DE INFORMACAO-SJM";"";"PRESENCIAL";12
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIB";"";"PRESENCIAL";3
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIL";"";"PRESENCIAL";19
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTB";"ESTUDOS LINGUISTICOS";"PRESENCIAL";1
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTB";"ESTUDOS LITERARIOS";"PRESENCIAL";3
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTL";"LINGUA INGLESA";"PRESENCIAL";6
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LTL";"LINGUA PORTUGUESA";"PRESENCIAL";13
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"PEDAGOGIA-PED";"";"PRESENCIAL";19
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"ADMINISTRACAO-ADM";"";"PRESENCIAL";31
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"CIENCIAS ECONOMICAS-ECO";"";"PRESENCIAL";18
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"JORNALISMO-JOR";"";"PRESENCIAL";18
2015;1;"MARIANA";"INSTITUTO DE CIENCIAS SOCIAIS APLICADAS";"SERVICO SOCIAL-SER";"";"PRESENCIAL";23
2015;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"ADMINISTRACAO: ADMINISTRACAO PUBLICA-D03";"";"DISTANCIA";8
2015;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"ADMINISTRACAO PUBLICA-D06";"";"DISTANCIA";27
2015;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"MATEMATICA-D05";"";"DISTANCIA";12
2015;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"PEDAGOGIA-D04";"";"DISTANCIA";32
2015;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"";"PRESENCIAL";47
2015;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"MUSEOLOGIA-MUL";"";"PRESENCIAL";9
2015;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"";"PRESENCIAL";17
