Ano;Semestre;Campus;Unidade Acadêmica;Descrição Curso;Descrição Habilitação;Formato;Diplomados
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;;PRESENCIAL;35
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO: ADMINISTRACAO PUBLICA-D03;;DISTANCIA;1
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;;DISTANCIA;17
2018;1;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;;PRESENCIAL;23
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;DIRECAO TEATRAL;PRESENCIAL;1
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;INTERPRETACAO;PRESENCIAL;1
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACL;;PRESENCIAL;3
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;;PRESENCIAL;11
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;;PRESENCIAL;7
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;;PRESENCIAL;3
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;;PRESENCIAL;4
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;;PRESENCIAL;19
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;;PRESENCIAL;53
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFB;;PRESENCIAL;8
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFL;;PRESENCIAL;6
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;;PRESENCIAL;8
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;;PRESENCIAL;34
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;;PRESENCIAL;15
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;;PRESENCIAL;16
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;;PRESENCIAL;16
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;;PRESENCIAL;26
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;;PRESENCIAL;19
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;;PRESENCIAL;14
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;;PRESENCIAL;20
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;;PRESENCIAL;28
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;;PRESENCIAL;14
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;ESTATISTICA-EST;;PRESENCIAL;8
2018;1;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;;PRESENCIAL;24
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;FILOSOFIA-FLL;;PRESENCIAL;3
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;FISICA-FSL;;PRESENCIAL;1
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;;DISTANCIA;3
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIB;;PRESENCIAL;4
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;;PRESENCIAL;26
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;;PRESENCIAL;25
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;ESTUDOS LITERARIOS;PRESENCIAL;1
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;TRADUCAO;PRESENCIAL;2
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LINGUA INGLESA;PRESENCIAL;5
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LINGUA PORTUGUESA;PRESENCIAL;15
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01;;DISTANCIA;1
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;;DISTANCIA;4
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTB;;PRESENCIAL;2
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;;PRESENCIAL;1
2018;1;OURO PRETO;ESCOLA DE MEDICINA;MEDICINA-MED;;PRESENCIAL;30
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;MUSEOLOGIA-MUL;;PRESENCIAL;15
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;MUSICA-MUS;;PRESENCIAL;7
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;;PRESENCIAL;13
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;;DISTANCIA;129
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;PEDAGOGIA-PED;;PRESENCIAL;23
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA INDUSTRIAL-QUI;;PRESENCIAL;6
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;;PRESENCIAL;4
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;;PRESENCIAL;21
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;;PRESENCIAL;10
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;TURISMO-TUR;;PRESENCIAL;13
