Ano;Semestre;Campus;Unidade Acadêmica;Descrição Curso;Descrição Habilitação;Formato;Diplomados
2018;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;;PRESENCIAL;24
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;;PRESENCIAL;32
2018;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;;PRESENCIAL;23
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;;PRESENCIAL;22
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;;PRESENCIAL;27
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;;PRESENCIAL;24
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;ESTATISTICA-EST;;PRESENCIAL;1
2018;2;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;;PRESENCIAL;24
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;FILOSOFIA-FLB;;PRESENCIAL;3
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;FILOSOFIA-FLL;;PRESENCIAL;3
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;FISICA-FSB;CIENCIA DOS MATERIAIS;PRESENCIAL;1
2018;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;;DISTANCIA;2
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIB;;PRESENCIAL;4
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;;PRESENCIAL;31
2018;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;;PRESENCIAL;28
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;ESTUDOS LINGUISTICOS;PRESENCIAL;1
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;ESTUDOS LITERARIOS;PRESENCIAL;4
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;TRADUCAO;PRESENCIAL;2
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LINGUA INGLESA;PRESENCIAL;3
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LINGUA PORTUGUESA;PRESENCIAL;14
2018;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;;DISTANCIA;19
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTB;;PRESENCIAL;1
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;;PRESENCIAL;4
2018;2;OURO PRETO;ESCOLA DE MEDICINA;MEDICINA-MED;;PRESENCIAL;49
2018;2;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;MUSEOLOGIA-MUL;;PRESENCIAL;11
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;MUSICA-MUS;;PRESENCIAL;13
2018;2;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;;PRESENCIAL;21
2018;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;;DISTANCIA;41
2018;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;PEDAGOGIA-PED;;PRESENCIAL;26
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA INDUSTRIAL-QUI;;PRESENCIAL;10
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;;PRESENCIAL;3
2018;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;;PRESENCIAL;26
2018;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;;PRESENCIAL;6
2018;2;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;TURISMO-TUR;;PRESENCIAL;9
