Ano;Semestre;Campus;Unidade Acadêmica;Descrição Curso;Descrição Habilitação;Formato;Diplomados
2018;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;;DISTANCIA;16
2018;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO: ADMINISTRACAO PUBLICA-D03;;DISTANCIA;1
2018;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;;PRESENCIAL;42
2018;2;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;;PRESENCIAL;37
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;DIRECAO TEATRAL;PRESENCIAL;1
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;INTERPRETACAO;PRESENCIAL;6
2018;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACL;;PRESENCIAL;10
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;;PRESENCIAL;11
2018;2;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;;PRESENCIAL;15
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;;PRESENCIAL;12
2018;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;;PRESENCIAL;13
2018;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;;PRESENCIAL;22
2018;2;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;;PRESENCIAL;35
2018;2;OURO PRETO;REITORIA;EDUCACAO FISICA-EFB;;PRESENCIAL;18
2018;2;OURO PRETO;REITORIA;EDUCACAO FISICA-EFL;;PRESENCIAL;4
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;;PRESENCIAL;6
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;;PRESENCIAL;32
2018;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;;PRESENCIAL;5
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;;PRESENCIAL;21
2018;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;;PRESENCIAL;43
